Unit #,Type,Location,Zip / County,Description,Size,Face,Lat.,Long.,18+ Imp
425C,Bulletin,"NJ Tnpk @ MM 115.0, 2.5 miles N/O Exit 18E",07657 /,"The New Jersey Turnpike (aka I-95) is so heavily traveled through this area that the designers split the traffic into 2 alignments. This right-hand read shows to travelers headed to I- 80, the George Washington Bridge and the New England States. Traffic may have originated from Newark Liberty Airport, Secaucus Outlets, Lincoln Tunnel and Rt. 3.",168 x 576,South,40.822,-74.027,136359
NY.AD.BB107,Bulletin,Paterson Plank Rd .2 mi W/O Gotham Pkwy,07072 / Bergen,"This illuminated bulletin reads to eastbound traffic on Paterson Bulletin
Plank Rd. As the northern border to the Meadowlands Sports Complex,
Paterson Plank Rd. is the main connector between Rt. 3 and Rt. 17, providing
direct access to Meadowlands Racetrack and a primary feeder to American
Dream Meadowlands (retail/entertainment destination) and MetLife Stadium
(NY Giants/NY Jets/live concerts and events).",168 x 576,West,40.821,-74.07,64001
NY.AD.BB106,Bulletin,Paterson Plank Rd .2 mi W/O Gotham Pkwy,07072 / Bergen,"This illuminated bulletin reads to westbound traffic on Paterson Bulletin
Plank Rd. As the northern border to the Meadowlands Sports Complex,
Paterson Plank Rd. is the main connector between Rt. 3 and Rt. 17, providing
direct access to Meadowlands Racetrack and primary feeder to American Dream
Meadowlands (retail/entertainment destination) and MetLife Stadium (NY
Giants/NY Jets/live concerts and events).",168 x 576,East,40.821,-74.07,157150
NY695S,Wallscape,Harlem East River Crossing @ 145th Street Bridge,10030 /,"This wallscape is situated in Harlem, an emerging shopping and dining destination in upper Manhattan. This unit reads to traffic crossing into The Bronx on the heavily trafficked 145th Street bridge.",240 x 270,West,40.82,-73.937,89475
NY.AD.SP1,Bulletin,"Rt. 120, American Dream garage, N/O footbridge",07073 / Bergen,"This 4,176 sq ft spectacular is affixed to the American Dream Spectacular
Meadowlands garage façade (north of footbridge) and is ideally positioned to read
directly to MetLife Stadium (NY Giants/NY Jets/live concerts and events) as well as Rt. 120. This larger-than-life display provides commanding visual impact to gameday tailgaters, concert goers as well as the heavy daily traffic volume on Rt. 120. For BOLD impact, purchased in combination with NY.AD.SP2 and/or Dreamscape Digital Network.",432 x 1392,West,40.811,-74.071,0
416B,Digital Bulletin,Rt 3 .05 miles E/O Rt 17,07070 / Bergen,"Digital bulletin reads to westbound traffic traveing on Route 3 towards Route 17 in East Rutherford, NJ. This bulletin is seen by traffic passing Metlife Stadium and the IZOD Center.",168 x 576,East,40.81,-74.093,222276
424A,Bulletin,"NJ Tpk @ MM 115.0, 2.5 Miles N/O Exit 18E - East Spur",07047 / Hudson,"This LHR located in the Hudson County area. It reads to southbound NJ Turnpike traffic, George Washington
Bridge, I-80, Route 46, Fort Lee, Teaneck, Hackensack & 
New York areas. Area Points of Interest are Lincoln Tunnel, Newark Liberty Airport, MetLife Stadium,
Harmon Meadows Shopping Complex.",168 x 576,North,40.81,-74.03,123189
NY.AD.GRST,Digital Spectacular,"American Dream, Grand Staircase Digital Spectacular - Arena Rd.,",07073 / Bergen County,"The Grand Staircase Digital Spectacular is located in the central most position of the American Dream property.  Adjacent to several parking garage entrances as well as the primary NJ Transit Bus hub, this asset will reside as a landmark position at American Dream.  With FULL MOTION content, this dual-faced display will deliver an impressive branded experience to patrons as they enter American Dream.  The network is programmed in a 10 spot content loop, with each spot being 15 seconds in length and representing a 10% share of voice (SOV).  Multiple spots can be purchased to achieve a higher SOV within the loop.",140 x 1297,West,40.81,-74.068,0
NY.AD.SP2,Bulletin,"Rt. 120, American Dream garage, S/O footbridge",07073 / Bergen,"This 4,176 sq ft spectacular is affixed to the American Dream Spectacular
Meadowlands garage façade (south of footbridge) and is ideally positioned to read directly to MetLife Stadium (NY Giants/NY Jets/live concerts and events) as well as Rt. 120. This larger-than-life display provides commanding visual impact to gameday tailgaters, concert goers as well as the heavy daily traffic volume on Rt. 120. For BOLD impact, purchased in combination with NY.AD.SP1 and/or Dreamscape Digital Network.",432 x 1392,West,40.81,-74.072,0
NY478,Bulletin,Bruckner Exwy @ 149th Street,/,"Outstanding bulletin faces both traffic traveling NB into the Bronx, Westchester County, Connecticut, and Long Island; SB showing to Manhattan and Queens commuters via the Triborough Bridge. Also one of the major route to JFK and LaGuardia Airports",234 x 576,South East,40.81,-73.903,377696
NY.AD.LUX,Digital Spectacular,American Dream Avenue Luxury Network 10% SOV (6 min per hour),07073 / Bergen County,"“The Avenue” Luxury Network is an integrated network of 3 Large Format LEDs and 17 Digital Kiosks delivering an immersive media experience within the The Avenue at American Dream.  This impressive collection of digital assets is purposefully planned to deliver a full motion digital media platform that is visible through the luxury retail environment. The network is programmed in a 2.5 minute content loop, with each 15 second spot representing a 10% share of voice (SOV).  Multiple spots can be purchased to achieve a higher SOV within the loop",0 x 0,,40.809,-74.069,39227
NY.AD.UNIV,Digital Spectacular,American Dream Universe Network 10% SOV (6 min per hour),07073 / Bergen County,"The Universe Network is an integrated network of 120+ delivering an immersive media experience on main levels 1-3.  This impressive collection of digital assets is purposefully planned to deliver a full motion digital media platform that is visible from entry to exit.  With multiple assets within sight at any given time, the synchronized network creates a fully branded environment throughout the property. The network is programmed in a 5 minute content loop, with each 15 second spot representing a 5% share of voice (SOV).  Multiple spots can be purchased to achieve a higher SOV within the loop.",0 x 0,,40.809,-74.069,268357
NYC11,Bulletin,125th Street & Adam Clayton Powell Jr. BLVD,10027 /,"This spectacular in-window display in located in the heart of Harlem, one block away from the famous Apollo Theatre. This section of Harlem is home to many retail fashion stores such ad H&M, Dr. Jay's and Jimmy Jazz as well as numerous bars, restaurants and clubs. This display is visible to thousands of pedestrians and vehicular traffic daily.",168 x 504,North,40.809,-73.949,222162
423C,Bulletin,"NJ Tpk @ MM 114.8, 2.5 Miles N/O Exit 18E",07047 / Hudson,"Traffic Origin
Northbound NJ Turnpike traffic, Lincoln Tunnel, Route 3, I-495, Secaucus, Hoboken, Weehawken, Jersey City, Newark, Jersey City
Traffic Destination
George Washington Bridge, I-80, Route 46, Fort Lee, Hackensack, Teaneck, Manhattan, Bronx, New York, all points north
Area Points of Interest
George Washington Bridge, Yankee Stadium, Bronx Zoo",168 x 576,South,40.808,-74.031,137929
422A,Bulletin,"NJ Turnpike @ MM 114.8, 2.5 Miles N/O Exit 18E",07047 / Hudson,"The New Jersey Turnpike (aka I-95) is so heavily traveled through this area that the designers split the traffic into 2 alignments. This left-hand read shows to travelers headed south towards the Lincoln and Holland Tunnels. Traffic may have originated from the George Washington Bridge, I-80, Route 46, New York State or the New England States.",168 x 576,North,40.807,-74.031,125018
NJ-8508,Wallscape,Kennedy Blvd 500' S/O 86th Street,07047 / Hudson,"This wallscape targets southbound traffic on Kennedy Boulevard, a primary north- south artery in
Hudson County. Traffic bypassing this wallscape is heading towards connectors for the Lincoln
Tunnel, NJ Turnpike, the Holland Tunnel, and I-78. Located on the border of West New York and North
Bergen this wallscape provides coverage for the Hispanic - skewed population of the surrounding
area and traffic flowing between the adjacent towns of Union City, Weehakwen and Hoboken.",360 x 240,North,40.807,-74.009,69557
